FL_DATE,Flight_Month,AIRLINE,AIRLINE_DOT,AIRLINE_CODE,DOT_CODE,FL_NUMBER,ORIGIN,ORIGIN_CITY,DEST,DEST_CITY,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,Delay_category,Delay_status,TAXI_OUT,WHEELS_OFF,WHEELS_ON,TAXI_IN,CRS_ARR_TIME,ARR_TIME,ARR_DELAY,CANCELLED,CANCELLATION_CODE,DIVERTED,CRS_ELAPSED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,DELAY_DUE_CARRIER,DELAY_DUE_WEATHER,DELAY_DUE_NAS,DELAY_DUE_SECURITY,DELAY_DUE_LATE_AIRCRAFT
25-12-2021,2021-12,Southwest Airlines Co.,Southwest Airlines Co.: WN,WN,19393,2516,DAL,"Dallas, TX",MSY,"New Orleans, LA",1435,1428,-7,No delay,Delayed,9,1437,1533,3,1600,1536,-24,0,0,0,85,68,56,436,0,0,0,0,0
24-03-2019,2019-03,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,906,DEN,"Denver, CO",IAH,"Houston, TX",1530,1526,-4,No delay,Delayed,14,1540,1830,15,1858,1845,-13,0,0,0,148,139,110,862,0,0,0,0,0
17-03-2019,2019-03,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,1157,SRQ,"Sarasota/Bradenton, FL",ORD,"Chicago, IL",1615,1611,-4,No delay,Delayed,31,1642,1838,12,1815,1850,35,0,0,0,180,219,176,1050,0,0,35,0,0
05-05-2022,2022-05,JetBlue Airways,JetBlue Airways: B6,B6,20409,1273,JFK,"New York, NY",CHS,"Charleston, SC",803,800,-3,No delay,Delayed,17,817,943,3,1012,946,-26,0,0,0,129,106,86,636,0,0,0,0,0
27-01-2019,2019-01,Spirit Air Lines,Spirit Air Lines: NK,NK,20416,262,FLL,"Fort Lauderdale, FL",ACY,"Atlantic City, NJ",1430,1443,13,No delay,Delayed,28,1511,1706,5,1700,1711,11,0,0,0,150,148,115,977,0,0,0,0,0
12-11-2022,2022-11,Delta Air Lines Inc.,Delta Air Lines Inc.: DL,DL,19790,2706,GRR,"Grand Rapids, MI",MSP,"Minneapolis, MN",730,720,-10,No delay,Delayed,10,730,731,5,806,736,-30,0,0,0,96,76,61,408,0,0,0,0,0
06-09-2022,2022-09,American Airlines Inc.,American Airlines Inc.: AA,AA,19805,1754,DFW,"Dallas/Fort Worth, TX",PNS,"Pensacola, FL",830,830,0,No delay,Delayed,19,849,1016,4,1014,1020,6,0,0,0,104,110,87,604,0,0,0,0,0
25-05-2021,2021-05,PSA Airlines Inc.,PSA Airlines Inc.: OH,OH,20397,5037,CLT,"Charlotte, NC",RDU,"Raleigh/Durham, NC",914,906,-8,No delay,Delayed,30,936,1005,4,1029,1009,-20,0,0,0,75,63,29,130,0,0,0,0,0
23-04-2019,2019-04,United Air Lines Inc.,United Air Lines Inc.: UA,UA,19977,498,ORD,"Chicago, IL",IAD,"Washington, DC",1330,1329,-1,No delay,Delayed,23,1352,1612,3,1620,1615,-5,0,0,0,110,106,80,588,0,0,0,0,0
04-07-2021,2021-07,Allegiant Air,Allegiant Air: G4,G4,20368,46,LAS,"Las Vegas, NV",GEG,"Spokane, WA",625,639,14,No delay,Delayed,28,707,854,4,833,858,25,0,0,0,128,139,107,806,0,0,25,0,0
